"Taxa";"Env";"yield"
"149";"PI610750";"SW-AMPanel_2012_Davis_Dry";4921.3483146067
"150";"PI610750";"SW-AMPanel_2012_Davis_Irr";3520
"151";"PI610750";"SW-AMPanel_2013_Imperial_Irr";4636.2344848213
"152";"PI610750";"SW-AMPanel_2013_Imperial_Dry";3717.6611335427
"153";"POMERELLE";"SW-AMPanel_2012_Davis_Dry";3561.797752809
"154";"POMERELLE";"SW-AMPanel_2012_Davis_Irr";7230
"157";"NEWANA";"SW-AMPanel_2012_Davis_Dry";2056.1797752809
"158";"NEWANA";"SW-AMPanel_2012_Davis_Irr";3706
"173";"VIDA";"SW-AMPanel_2012_Davis_Dry";4157.3033707865
"174";"VIDA";"SW-AMPanel_2012_Davis_Irr";4980
"177";"SD4178";"SW-AMPanel_2012_Davis_Dry";6146.0674157303
"178";"SD4178";"SW-AMPanel_2012_Davis_Irr";5464
"179";"SD4178";"SW-AMPanel_2013_Imperial_Irr";4017.1227755346
"180";"SD4178";"SW-AMPanel_2013_Imperial_Dry";4105.7275310304
"181";"MN01333-A";"SW-AMPanel_2012_Davis_Dry";8202.2471910112
"182";"MN01333-A";"SW-AMPanel_2012_Davis_Irr";6050
"183";"MN01333-A";"SW-AMPanel_2013_Imperial_Irr";6816.5844175265
"184";"MN01333-A";"SW-AMPanel_2013_Imperial_Dry";5700.6131299536
"185";"CLEAR_WHITE_515";"SW-AMPanel_2012_Davis_Dry";8146.0674157303
"186";"CLEAR_WHITE_515";"SW-AMPanel_2012_Davis_Irr";6640
"187";"CLEAR_WHITE_515";"SW-AMPanel_2013_Imperial_Irr";5445.0800059818
"188";"CLEAR_WHITE_515";"SW-AMPanel_2013_Imperial_Dry";6185.8830566771
"193";"CDC_ALSASK";"SW-AMPanel_2012_Davis_Dry";5337.0786516854
"194";"CDC_ALSASK";"SW-AMPanel_2012_Davis_Irr";4120
"195";"CDC_ALSASK";"SW-AMPanel_2013_Imperial_Irr";3842.1564229101
"196";"CDC_ALSASK";"SW-AMPanel_2013_Imperial_Dry";3486.6158217437
"197";"UC896_5+10_LR34_YR18_YR5_GPC";"SW-AMPanel_2012_Davis_Dry";7292.1348314607
"198";"UC896_5+10_LR34_YR18_YR5_GPC";"SW-AMPanel_2012_Davis_Irr";5860
"199";"UC896_5+10_LR34_YR18_YR5_GPC";"SW-AMPanel_2013_Imperial_Irr";4649.6934350232
"200";"UC896_5+10_LR34_YR18_YR5_GPC";"SW-AMPanel_2013_Imperial_Dry";5797.0689397338
"201";"BERKUT";"SW-AMPanel_2012_Davis_Dry";8505.6179775281
"202";"BERKUT";"SW-AMPanel_2012_Davis_Irr";7130
"203";"BERKUT";"SW-AMPanel_2013_Imperial_Irr";6626.0405762425
"204";"BERKUT";"SW-AMPanel_2013_Imperial_Dry";5043.1184886097
"205";"SD4264";"SW-AMPanel_2012_Davis_Dry";8853.9325842697
"206";"SD4264";"SW-AMPanel_2012_Davis_Irr";7664
"207";"SD4264";"SW-AMPanel_2013_Imperial_Irr";3595.4090025422
"208";"SD4264";"SW-AMPanel_2013_Imperial_Dry";3071.6315238522
"209";"H0800103L";"SW-AMPanel_2012_Davis_Dry";4089.8876404494
"210";"H0800103L";"SW-AMPanel_2012_Davis_Irr";3820
"211";"H0800103L";"SW-AMPanel_2013_Imperial_Irr";4095.633318379
"212";"H0800103L";"SW-AMPanel_2013_Imperial_Dry";4570.0613129954
"213";"RL4137";"SW-AMPanel_2012_Davis_Dry";2764.0449438202
"214";"RL4137";"SW-AMPanel_2012_Davis_Irr";1990
"217";"SD4165";"SW-AMPanel_2012_Davis_Dry";5707.8651685393
"218";"SD4165";"SW-AMPanel_2012_Davis_Irr";6090
"221";"HR07005-3";"SW-AMPanel_2012_Davis_Dry";3483.1460674157
"222";"HR07005-3";"SW-AMPanel_2012_Davis_Irr";3180
"225";"JEFFERSON";"SW-AMPanel_2012_Davis_Dry";6719.1011235955
"226";"JEFFERSON";"SW-AMPanel_2012_Davis_Irr";7418
"229";"PT765";"SW-AMPanel_2012_Davis_Dry";5213.4831460674
"230";"PT765";"SW-AMPanel_2012_Davis_Irr";2040
"231";"PT765";"SW-AMPanel_2013_Imperial_Irr";4272.8428293704
"232";"PT765";"SW-AMPanel_2013_Imperial_Dry";3345.2968446239
"233";"ATTILA-1RS";"SW-AMPanel_2012_Davis_Dry";9000
"234";"ATTILA-1RS";"SW-AMPanel_2012_Davis_Irr";7850
"235";"ATTILA-1RS";"SW-AMPanel_2013_Imperial_Irr";6381.4116943323
"236";"ATTILA-1RS";"SW-AMPanel_2013_Imperial_Dry";5954.0900254225
"241";"BLANCA_FUERTE";"SW-AMPanel_2012_Davis_Dry";8213.4831460674
"242";"BLANCA_FUERTE";"SW-AMPanel_2012_Davis_Irr";7990
"243";"BLANCA_FUERTE";"SW-AMPanel_2013_Imperial_Irr";6537.4981307014
"244";"BLANCA_FUERTE";"SW-AMPanel_2013_Imperial_Dry";6109.6156721998
"245";"CDC_KERNEN";"SW-AMPanel_2012_Davis_Dry";2584.2696629213
"246";"CDC_KERNEN";"SW-AMPanel_2012_Davis_Irr";3030
"249";"UC1552";"SW-AMPanel_2012_Davis_Dry";3426.9662921348
"250";"UC1552";"SW-AMPanel_2012_Davis_Irr";5356
"251";"UC1552";"SW-AMPanel_2013_Imperial_Irr";3326.2299985046
"252";"UC1552";"SW-AMPanel_2013_Imperial_Dry";5038.8814116943
"257";"AC_CRYSTAL";"SW-AMPanel_2012_Davis_Dry";4730.3370786517
"258";"AC_CRYSTAL";"SW-AMPanel_2012_Davis_Irr";4970
"259";"AC_CRYSTAL";"SW-AMPanel_2013_Imperial_Irr";6085.3147898908
"260";"AC_CRYSTAL";"SW-AMPanel_2013_Imperial_Dry";4545.3865709586
"261";"UC1616";"SW-AMPanel_2012_Davis_Dry";9651.6853932584
"262";"UC1616";"SW-AMPanel_2012_Davis_Irr";8740
"263";"UC1616";"SW-AMPanel_2013_Imperial_Irr";7500.7477194557
"264";"UC1616";"SW-AMPanel_2013_Imperial_Dry";5451.6225512188
"277";"AC_SPLENDOR";"SW-AMPanel_2012_Davis_Dry";3325.8426966292
"278";"AC_SPLENDOR";"SW-AMPanel_2012_Davis_Irr";3240
"281";"UC1602";"SW-AMPanel_2012_Davis_Dry";8011.2359550562
"282";"UC1602";"SW-AMPanel_2012_Davis_Irr";7290
"283";"UC1602";"SW-AMPanel_2013_Imperial_Irr";6009.0474054135
"284";"UC1602";"SW-AMPanel_2013_Imperial_Dry";5855.3910572753
"289";"SC80221V2";"SW-AMPanel_2012_Davis_Dry";3674.1573033708
"290";"SC80221V2";"SW-AMPanel_2012_Davis_Irr";3960
"291";"SC80221V2";"SW-AMPanel_2013_Imperial_Irr";3882.5332735158
"292";"SC80221V2";"SW-AMPanel_2013_Imperial_Dry";3360.9989531928
"297";"IDO488";"SW-AMPanel_2012_Davis_Dry";7640.4494382022
"298";"IDO488";"SW-AMPanel_2012_Davis_Irr";6628
"299";"IDO488";"SW-AMPanel_2013_Imperial_Irr";3433.9016001196
"300";"IDO488";"SW-AMPanel_2013_Imperial_Dry";4697.9213399133
"301";"HW080169";"SW-AMPanel_2012_Davis_Dry";7988.7640449438
"302";"HW080169";"SW-AMPanel_2012_Davis_Irr";7200
"303";"HW080169";"SW-AMPanel_2013_Imperial_Irr";4793.2555705099
"304";"HW080169";"SW-AMPanel_2013_Imperial_Dry";4787.6476745925
"305";"9252";"SW-AMPanel_2012_Davis_Dry";2022.4719101124
"306";"9252";"SW-AMPanel_2012_Davis_Irr";4554
"313";"MN08106-6";"SW-AMPanel_2012_Davis_Dry";7337.0786516854
"314";"MN08106-6";"SW-AMPanel_2012_Davis_Irr";7100
"315";"MN08106-6";"SW-AMPanel_2013_Imperial_Irr";3797.2932555705
"316";"MN08106-6";"SW-AMPanel_2013_Imperial_Dry";5561.5373112008
"317";"9256";"SW-AMPanel_2012_Davis_Dry";4685.393258427
"318";"9256";"SW-AMPanel_2012_Davis_Irr";5850
"319";"9256";"SW-AMPanel_2013_Imperial_Irr";3586.4363690743
"320";"9256";"SW-AMPanel_2013_Imperial_Dry";3843.2780020936
"321";"SUPERB";"SW-AMPanel_2012_Davis_Dry";3033.7078651685
"322";"SUPERB";"SW-AMPanel_2012_Davis_Irr";4940
"345";"HAHN-1RSMA";"SW-AMPanel_2012_Davis_Dry";9494.3820224719
"346";"HAHN-1RSMA";"SW-AMPanel_2012_Davis_Irr";7480
"347";"HAHN-1RSMA";"SW-AMPanel_2013_Imperial_Irr";7175.6766861074
"348";"HAHN-1RSMA";"SW-AMPanel_2013_Imperial_Dry";5004.8601764618
"349";"MTHW0771";"SW-AMPanel_2012_Davis_Dry";7685.393258427
"350";"MTHW0771";"SW-AMPanel_2012_Davis_Irr";7740
"351";"MTHW0771";"SW-AMPanel_2013_Imperial_Irr";6655.0770151039
"352";"MTHW0771";"SW-AMPanel_2013_Imperial_Dry";5182.4435471811
"353";"9245";"SW-AMPanel_2012_Davis_Dry";4719.1011235955
"354";"9245";"SW-AMPanel_2012_Davis_Irr";5410
"355";"9245";"SW-AMPanel_2013_Imperial_Irr";2388.5898011066
"356";"9245";"SW-AMPanel_2013_Imperial_Dry";2755.346194108
"357";"MN00261-4";"SW-AMPanel_2012_Davis_Dry";6550.5617977528
"358";"MN00261-4";"SW-AMPanel_2012_Davis_Irr";5360
"361";"SD4253";"SW-AMPanel_2012_Davis_Dry";4157.3033707865
"362";"SD4253";"SW-AMPanel_2012_Davis_Irr";4282
"369";"IDO599";"SW-AMPanel_2012_Davis_Dry";8449.4382022472
"370";"IDO599";"SW-AMPanel_2012_Davis_Irr";7490
"371";"IDO599";"SW-AMPanel_2013_Imperial_Irr";6533.946463287
"372";"IDO599";"SW-AMPanel_2013_Imperial_Dry";4368.1770599671
"373";"RIL29";"SW-AMPanel_2012_Davis_Dry";8359.5505617978
"374";"RIL29";"SW-AMPanel_2012_Davis_Irr";8100
"375";"RIL29";"SW-AMPanel_2013_Imperial_Irr";6839.0160011964
"376";"RIL29";"SW-AMPanel_2013_Imperial_Dry";5949.6037086885
"381";"WA8016";"SW-AMPanel_2012_Davis_Dry";5573.0337078652
"382";"WA8016";"SW-AMPanel_2012_Davis_Irr";5400
"383";"WA8016";"SW-AMPanel_2013_Imperial_Irr";4174.1438612233
"384";"WA8016";"SW-AMPanel_2013_Imperial_Dry";6501.4206669658
"385";"CDN_BISON";"SW-AMPanel_2012_Davis_Dry";3719.1011235955
"386";"CDN_BISON";"SW-AMPanel_2012_Davis_Irr";3450
"393";"9254";"SW-AMPanel_2012_Davis_Dry";5595.5056179775
"394";"9254";"SW-AMPanel_2012_Davis_Irr";6600
"395";"9254";"SW-AMPanel_2013_Imperial_Irr";4351.3533722148
"396";"9254";"SW-AMPanel_2013_Imperial_Dry";5711.8289217885
"397";"IDO560";"SW-AMPanel_2012_Davis_Dry";6213.4831460674
"398";"IDO560";"SW-AMPanel_2012_Davis_Irr";6160
"399";"IDO560";"SW-AMPanel_2013_Imperial_Irr";6749.2896665171
"400";"IDO560";"SW-AMPanel_2013_Imperial_Dry";6676.3870195903
"401";"9228";"SW-AMPanel_2012_Davis_Dry";8573.0337078652
"402";"9228";"SW-AMPanel_2012_Davis_Irr";7070
"403";"9228";"SW-AMPanel_2013_Imperial_Irr";5901.3758037984
"404";"9228";"SW-AMPanel_2013_Imperial_Dry";4913.2645431434
"405";"ADA";"SW-AMPanel_2012_Davis_Dry";6123.595505618
"406";"ADA";"SW-AMPanel_2012_Davis_Irr";6890
"407";"ADA";"SW-AMPanel_2013_Imperial_Irr";5656.8715417975
"408";"ADA";"SW-AMPanel_2013_Imperial_Dry";4850.456108868
"413";"FORTUNA";"SW-AMPanel_2012_Davis_Dry";4662.9213483146
